exchange,symbol,best_bid,best_bid_volume,best_ask,best_ask_volume,timestamp
BITFLYER,FX_BTC_JPY,17564517,0.03000000,17566911,0.00133000,2025-07-16T07:08:07.382735Z
BITFLYER,BTC_JPY,17588022,0.00400500,17589882,0.03500000,2025-07-16T07:08:07.439663Z
BITFLYER,FX_BTC_JPY,17564517,0.03000000,17566911,0.00133000,2025-07-16T07:08:07.486359Z
BITFLYER,FX_BTC_JPY,17563889,0.04900000,17568212,0.05100000,2025-07-16T07:08:07.615752Z
BITFLYER,BTC_JPY,17588022,0.00400500,17589882,0.03500000,2025-07-16T07:08:07.664480Z
BITFLYER,FX_BTC_JPY,17563882,0.01000000,17569850,0.00725693,2025-07-16T07:08:07.729196Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:07.850074Z
BITFLYER,FX_BTC_JPY,17563933,0.04900000,17568066,0.05100000,2025-07-16T07:08:07.855114Z
GMO,BTC_JPY,17563496,0.00500000,17568202,0.01000000,2025-07-16T07:08:07.882812Z
BITFLYER,FX_BTC_JPY,17564636,0.03000000,17568066,0.05100000,2025-07-16T07:08:07.976869Z
BITFLYER,FX_BTC_JPY,17563933,0.04900000,17566902,0.02000000,2025-07-16T07:08:08.087193Z
BITFLYER,FX_BTC_JPY,17563933,0.04900000,17566902,0.02000000,2025-07-16T07:08:08.213239Z
BITFLYER,FX_BTC_JPY,17563933,0.04900000,17566902,0.02000000,2025-07-16T07:08:08.337385Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:08.349517Z
GMO,BTC_JPY,17563513,0.00500000,17568202,0.01000000,2025-07-16T07:08:08.422493Z
BITFLYER,FX_BTC_JPY,17563933,0.04900000,17566902,0.02000000,2025-07-16T07:08:08.490278Z
BITFLYER,BTC_JPY,17588022,0.00400500,17589882,0.03500000,2025-07-16T07:08:08.525945Z
BITFLYER,FX_BTC_JPY,17564678,0.03000000,17566902,0.02000000,2025-07-16T07:08:08.620112Z
BITFLYER,FX_BTC_JPY,17563933,0.04900000,17566902,0.00532650,2025-07-16T07:08:08.785121Z
BITFLYER,FX_BTC_JPY,17563933,0.04900000,17566902,0.00532650,2025-07-16T07:08:08.818364Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:08.847773Z
BITFLYER,BTC_JPY,17588022,0.00400500,17589882,0.03500000,2025-07-16T07:08:08.859012Z
BITFLYER,FX_BTC_JPY,17564679,0.08000000,17566902,0.00532650,2025-07-16T07:08:08.907959Z
BITFLYER,BTC_JPY,17588022,0.00400500,17589882,0.03500000,2025-07-16T07:08:08.973678Z
BITFLYER,FX_BTC_JPY,17564679,0.08000000,17566902,0.00532650,2025-07-16T07:08:09.091570Z
BITFLYER,BTC_JPY,17588022,0.00400500,17589900,0.25250258,2025-07-16T07:08:09.096934Z
BITFLYER,FX_BTC_JPY,17564679,0.08000000,17567720,0.01699849,2025-07-16T07:08:09.201822Z
BITFLYER,BTC_JPY,17588022,0.00400500,17590699,0.01834955,2025-07-16T07:08:09.234888Z
BITFLYER,FX_BTC_JPY,17564679,0.08000000,17567720,0.01699849,2025-07-16T07:08:09.313257Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:09.364967Z
BITFLYER,BTC_JPY,17588022,0.00400500,17590699,0.01834955,2025-07-16T07:08:09.365006Z
GMO,BTC_JPY,17563575,0.02000000,17568202,0.01000000,2025-07-16T07:08:09.396001Z
BITFLYER,FX_BTC_JPY,17564679,0.08000000,17567720,0.01699849,2025-07-16T07:08:09.454874Z
BITFLYER,FX_BTC_JPY,17564767,0.03000000,17567720,0.01699849,2025-07-16T07:08:09.565066Z
BITFLYER,BTC_JPY,17588022,0.00400500,17590200,0.25250000,2025-07-16T07:08:09.608149Z
BITFLYER,FX_BTC_JPY,17564767,0.03000000,17567720,0.01699849,2025-07-16T07:08:09.693830Z
BITFLYER,BTC_JPY,17588022,0.00400500,17590700,0.10000000,2025-07-16T07:08:09.841082Z
BITFLYER,FX_BTC_JPY,17565139,0.03000000,17567720,0.01699849,2025-07-16T07:08:09.845289Z
GMO,BTC_JPY,17564452,0.02000000,17568202,0.01000000,2025-07-16T07:08:09.900821Z
BITFLYER,FX_BTC_JPY,17565139,0.03000000,17567720,0.01699849,2025-07-16T07:08:09.950426Z
BITFLYER,BTC_JPY,17588022,0.00400500,17590700,0.10000000,2025-07-16T07:08:09.953285Z
BITFLYER,FX_BTC_JPY,17564679,0.08000000,17567720,0.01699849,2025-07-16T07:08:10.054212Z
BITFLYER,BTC_JPY,17588022,0.00400500,17590700,0.10000000,2025-07-16T07:08:10.095861Z
BITFLYER,FX_BTC_JPY,17564679,0.08000000,17567720,0.01699849,2025-07-16T07:08:10.201742Z
BITFLYER,BTC_JPY,17588022,0.00400500,17590698,0.03400000,2025-07-16T07:08:10.213406Z
BITFLYER,FX_BTC_JPY,17564679,0.08000000,17567628,0.00600000,2025-07-16T07:08:10.307557Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:10.360042Z
GMO,BTC_JPY,17564559,0.02000000,17568915,0.01000000,2025-07-16T07:08:10.407766Z
BITFLYER,FX_BTC_JPY,17564679,0.08000000,17567628,0.00600000,2025-07-16T07:08:10.426818Z
BITFLYER,BTC_JPY,17588022,0.00400500,17590698,0.03400000,2025-07-16T07:08:10.517299Z
BITFLYER,FX_BTC_JPY,17564679,0.08000000,17567628,0.00600000,2025-07-16T07:08:10.528136Z
BITFLYER,BTC_JPY,17588022,0.00400500,17590698,0.03400000,2025-07-16T07:08:10.644026Z
BITFLYER,FX_BTC_JPY,17564680,0.05689747,17567628,0.00600000,2025-07-16T07:08:10.667441Z
BITFLYER,BTC_JPY,17588022,0.00400500,17590698,0.03400000,2025-07-16T07:08:10.783215Z
BITFLYER,FX_BTC_JPY,17564680,0.05689747,17567628,0.00600000,2025-07-16T07:08:10.826912Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:10.862259Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590698,0.03400000,2025-07-16T07:08:10.917697Z
BITFLYER,FX_BTC_JPY,17564680,0.05689747,17567628,0.00600000,2025-07-16T07:08:10.946470Z
BITFLYER,BTC_JPY,17588198,0.00100000,17590698,0.03400000,2025-07-16T07:08:11.046211Z
BITFLYER,FX_BTC_JPY,17566388,0.03000000,17567628,0.00600000,2025-07-16T07:08:11.053035Z
BITFLYER,FX_BTC_JPY,17566388,0.03000000,17567720,0.01299849,2025-07-16T07:08:11.159834Z
BITFLYER,BTC_JPY,17588198,0.00100000,17590698,0.03400000,2025-07-16T07:08:11.159967Z
BITFLYER,FX_BTC_JPY,17566389,0.05689616,17567720,0.00299849,2025-07-16T07:08:11.289999Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590698,0.03400000,2025-07-16T07:08:11.326354Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:11.371891Z
BITFLYER,FX_BTC_JPY,17566389,0.05689616,17567720,0.00299849,2025-07-16T07:08:11.392898Z
GMO,BTC_JPY,17564930,0.02000000,17568915,0.01000000,2025-07-16T07:08:11.413155Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590698,0.03400000,2025-07-16T07:08:11.426745Z
BITFLYER,FX_BTC_JPY,17566389,0.05689616,17567720,0.00299849,2025-07-16T07:08:11.543024Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590698,0.03400000,2025-07-16T07:08:11.644153Z
BITFLYER,FX_BTC_JPY,17566879,0.03000000,17567884,0.05254968,2025-07-16T07:08:11.657250Z
BITFLYER,FX_BTC_JPY,17564760,0.00100000,17567884,0.05004968,2025-07-16T07:08:11.799925Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:11.880032Z
GMO,BTC_JPY,17564930,0.02000000,17568915,0.01000000,2025-07-16T07:08:11.921529Z
GMO,BTC_JPY,17564930,0.02000000,17568915,0.01000000,2025-07-16T07:08:11.956491Z
BITFLYER,FX_BTC_JPY,17566880,0.05689555,17567884,0.05004968,2025-07-16T07:08:11.967639Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:11.973044Z
BITFLYER,FX_BTC_JPY,17566880,0.05689555,17567884,0.05004968,2025-07-16T07:08:12.081483Z
BITFLYER,FX_BTC_JPY,17566894,0.03000000,17567851,0.01000000,2025-07-16T07:08:12.196021Z
BITFLYER,FX_BTC_JPY,17566894,0.03000000,17567851,0.01000000,2025-07-16T07:08:12.345247Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:12.424536Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590698,0.03400000,2025-07-16T07:08:12.425840Z
GMO,BTC_JPY,17565454,0.02000000,17568915,0.01000000,2025-07-16T07:08:12.428386Z
BITFLYER,FX_BTC_JPY,17566895,0.05689556,17567851,0.01000000,2025-07-16T07:08:12.484326Z
