exchange,symbol,ts,bid1,bid1vol,bid2,bid2vol,bid3,bid3vol,bid4,bid4vol,bid5,bid5vol,bid6,bid6vol,bid7,bid7vol,bid8,bid8vol,ask1,ask1vol,ask2,ask2vol,ask3,ask3vol,ask4,ask4vol,ask5,ask5vol,ask6,ask6vol,ask7,ask7vol,ask8,ask8vol
BITFLYER,BTC_JPY,2025-07-16T05:19:17.194234Z,17581848,0.00130462,17580177,0.03602957,17580176,0.03385220,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575867,0.08208563,17575866,0.01107040,17586294,0.02000000,17586295,0.02000000,17586298,0.03500000,17586300,0.28830000,17586500,0.28830000,17586685,0.01107040,17587693,0.01107040,17588196,0.02691879
GMO,BTC_JPY,2025-07-16T05:19:17.223678Z,17562857,0.00500000,17562847,0.01100000,17562835,0.02000000,17561176,0.01000000,17561169,0.04700000,17560854,0.02000000,17560179,0.02000000,17560075,0.02000000,17567862,0.01000000,17568141,0.00100000,17568389,0.02000000,17568398,0.02000000,17568639,0.00100000,17568725,0.02000000,17568839,0.00200000,17569176,0.00300000
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:17.292814Z,17568249,0.01000000,17566269,0.01001279,17566241,0.01000000,17566240,0.01093396,17566197,0.04900000,17565787,0.05000000,17565780,0.00364502,17565739,0.02000000,17570140,0.00561071,17570548,0.10789705,17570549,0.03084597,17570555,0.06500000,17570556,0.05063865,17570871,0.01000000,17570889,0.09600703,17571018,0.02000000
BITFLYER,BTC_JPY,2025-07-16T05:19:17.300583Z,17581848,0.00130462,17580177,0.03602957,17580176,0.03385220,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575867,0.08208563,17575866,0.01107040,17586284,0.00966210,17586291,0.02000000,17586294,0.02000000,17586298,0.03500000,17586300,0.28830000,17586500,0.28830000,17586685,0.01107040,17587692,0.02658026
BITFLYER,BTC_JPY,2025-07-16T05:19:17.407771Z,17581848,0.00130462,17580177,0.03602957,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575867,0.08208563,17575866,0.01107040,17575300,0.00569770,17586284,0.00966210,17586291,0.02000000,17586294,0.02000000,17586298,0.03500000,17586300,0.28830000,17586500,0.28830000,17586685,0.01107040,17587692,0.02658026
GMO,BTC,2025-07-16T05:19:17.410741Z,17588040,0.03000000,17585973,0.01000000,17584336,0.03521000,17584335,0.05000000,17583044,0.38614000,17580029,0.03000000,17577971,0.02000000,17576660,0.01000000,17589337,0.01900000,17589338,0.02000000,17589664,0.05000000,17590128,0.03000000,17590140,0.50000000,17590930,0.50000000,17591305,0.02100000,17593263,0.01479000
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:17.410845Z,17568249,0.01000000,17566269,0.01001279,17566241,0.01000000,17566240,0.01093396,17565780,0.00364502,17565722,0.00100000,17565721,1.00000000,17564653,0.05000000,17570139,0.05789770,17570140,0.00461071,17570548,0.05000000,17570549,0.03084597,17570555,0.06500000,17570556,0.05063865,17570871,0.01000000,17570889,0.09600703
BITFLYER,BTC_JPY,2025-07-16T05:19:17.538134Z,17581848,0.00130462,17580177,0.03602957,17579822,0.05585220,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575867,0.08208563,17575866,0.01107040,17586284,0.00966210,17586291,0.02000000,17586294,0.02000000,17586300,0.28830000,17586500,0.28830000,17586685,0.01107040,17587692,0.02658026,17587693,0.01107040
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:17.574929Z,17566269,0.01001279,17566241,0.01000000,17566240,0.01093396,17565780,0.00364502,17565722,0.00100000,17564948,0.02000000,17564653,0.05000000,17564652,0.09106881,17570139,0.05789770,17570140,0.00461071,17570547,0.00699000,17570548,0.05000000,17570549,0.03084597,17570555,0.06500000,17570556,0.05063865,17570871,0.01000000
BITFLYER,BTC_JPY,2025-07-16T05:19:17.658041Z,17581848,0.00130462,17579822,0.05585220,17579801,0.03042743,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575867,0.08208563,17575866,0.01107040,17586282,0.03200000,17586284,0.00966210,17586291,0.02000000,17586294,0.02000000,17586300,0.28830000,17586500,0.28830000,17586684,0.02579308,17586685,0.01107040
