exchange,symbol,trade_id,price,size,side,timestamp,created_at
BITFLYER,FX_BTC_JPY,BITFLYER-2609084291,17535425,0.00900000,SELL,2025-07-16T06:15:54.604765200Z,2025-07-16T06:15:54.590732
BITFLYER,FX_BTC_JPY,BITFLYER-2609084292,17535491,0.00100000,SELL,2025-07-16T06:16:01.761104Z,2025-07-16T06:16:01.767933
BITFLYER,BTC_JPY,BITFLYER-2609086502,17556188,0.01400120,BUY,2025-07-16T06:16:03.935801800Z,2025-07-16T06:16:03.997389
BITFLYER,FX_BTC_JPY,BITFLYER-2609084293,17535491,0.04800000,SELL,2025-07-16T06:16:04.448405800Z,2025-07-16T06:16:04.481200
BITFLYER,BTC_JPY,BITFLYER-2609086503,17556188,0.00599880,BUY,2025-07-16T06:16:05.018095700Z,2025-07-16T06:16:05.030616
BITFLYER,BTC_JPY,BITFLYER-2609086507,17556191,0.00284000,BUY,2025-07-16T06:16:09.292757800Z,2025-07-16T06:16:09.432668
BITFLYER,BTC_JPY,BITFLYER-2609086508,17556191,0.03901120,BUY,2025-07-16T06:16:09.302808900Z,2025-07-16T06:16:09.432783
BITFLYER,BTC_JPY,BITFLYER-2609086509,17556191,0.00528030,BUY,2025-07-16T06:16:10.300497500Z,2025-07-16T06:16:10.320443
BITFLYER,BTC_JPY,BITFLYER-2609086510,17558843,0.00072330,BUY,2025-07-16T06:16:10.300497500Z,2025-07-16T06:16:10.320496
BITFLYER,FX_BTC_JPY,BITFLYER-2609084294,17535024,0.04462143,SELL,2025-07-16T06:16:11.868020500Z,2025-07-16T06:16:11.871208
GMO,BTC,GMO-1752646572330,17561999,0.00180000,BUY,2025-07-16T06:16:12.362Z,2025-07-16T06:16:12.330741
GMO,BTC,GMO-1752646572331,17561999,0.00180000,SELL,2025-07-16T06:16:12.362Z,2025-07-16T06:16:12.331252
GMO,BTC_JPY,GMO-1752646573105,17532861,0.02000000,BUY,2025-07-16T06:16:13.141Z,2025-07-16T06:16:13.105300
GMO,BTC_JPY,GMO-1752646573105,17532861,0.02000000,SELL,2025-07-16T06:16:13.141Z,2025-07-16T06:16:13.105472
BITFLYER,FX_BTC_JPY,BITFLYER-2609084295,17533168,0.01842704,SELL,2025-07-16T06:16:13.438190300Z,2025-07-16T06:16:13.437820
BITFLYER,FX_BTC_JPY,BITFLYER-2609084296,17533061,0.05000000,SELL,2025-07-16T06:16:13.438190300Z,2025-07-16T06:16:13.437874
GMO,BTC_JPY,GMO-1752646573485,17529406,0.02000000,SELL,2025-07-16T06:16:13.519Z,2025-07-16T06:16:13.485651
GMO,BTC_JPY,GMO-1752646573485,17529406,0.02000000,BUY,2025-07-16T06:16:13.519Z,2025-07-16T06:16:13.485783
BITFLYER,FX_BTC_JPY,BITFLYER-2609084297,17531534,0.02150000,SELL,2025-07-16T06:16:13.735835900Z,2025-07-16T06:16:13.741004
BITFLYER,FX_BTC_JPY,BITFLYER-2609084298,17531080,0.02000000,SELL,2025-07-16T06:16:13.735835900Z,2025-07-16T06:16:13.741081
GMO,BTC_JPY,GMO-1752646573931,17526832,0.00100000,SELL,2025-07-16T06:16:13.964Z,2025-07-16T06:16:13.931386
GMO,BTC_JPY,GMO-1752646573931,17526832,0.00100000,BUY,2025-07-16T06:16:13.964Z,2025-07-16T06:16:13.931601
GMO,BTC_JPY,GMO-1752646573931,17526641,0.04500000,SELL,2025-07-16T06:16:13.964Z,2025-07-16T06:16:13.931744
GMO,BTC_JPY,GMO-1752646573931,17526641,0.04500000,BUY,2025-07-16T06:16:13.964Z,2025-07-16T06:16:13.932420
BITFLYER,FX_BTC_JPY,BITFLYER-2609084299,17530409,0.00100000,SELL,2025-07-16T06:16:14.092803Z,2025-07-16T06:16:14.113624
